# Campagna=SmartBay
# Stazione=TBaia_01m
# Nome=Baia_S.Teresa
# Latitudine=44.081873
# Longitudine=9.881667
# Profondita'=1
# Fondale=8
# Clorofilla_M=1
# Clorofilla_Q=0
# Operatore=Bordone_Andrea
# Tipo_misura=Serie_temporale
# Sonda=Elaborazione(SBE19plus)
# Incertezza_standard_Temperatura(°C)=0.023
# Incertezza_standard_Conducibilita'(mS/cm)=0.032
# Incertezza_standard_Salinita'(PSU)=0.009
#      Data Ora(UTC) Profondita'(m) Pressione(db) Temperatura(°C) Conducibilita'(mS/cm) Fluorescenza(ug/l) Torbidita'(NTU) Ossigeno(mg/l) Ossigeno(ml/l) Ossigeno(%) Salinita'(PSU) Densita'(Kg/m^3) Densita'(Kg/m^3-1000) Velocita'_del_Suono(m/s) Clorofilla-a(ug/l) TSS(mg/l)
 13/10/2021 08:47:00          1.061         1.070         20.3520             51.677638             1.3837          4.1185         7.3080         5.1140     101.110        37.7849        1026.7976               26.7976                1525.5731              1.384 -9999.000
 19/10/2021 08:27:00          1.286         1.296         19.5830             51.086774             1.6296          5.2314         7.0400         4.9260      96.170        37.9890        1027.1605               27.1605                1523.6948              1.630 -9999.000
 25/10/2021 08:30:00          1.114         1.123         19.2003             50.528621             2.3087          7.0017         7.1750         5.0210      97.250        37.8689        1027.1685               27.1685                1522.4899              2.309 -9999.000
 03/11/2021 08:40:00          0.902         0.909         18.3569             49.434191             1.5196          8.9402         7.5610         5.2910     100.790        37.7112        1027.2642               27.2641                1519.9166              1.520 -9999.000
 10/11/2021 08:51:00          1.186         1.196         16.9613             47.856737             1.6537          8.3117         7.4120         5.1860      96.190        37.6342        1027.5525               27.5525                1515.7563              1.654 -9999.000
 17/11/2021 08:41:00          0.988         0.996         16.5475             47.142305             1.9275          4.4210         7.1540         5.0060      91.980        37.3884        1027.4618               27.4618                1514.2315              1.928 -9999.000
 25/11/2021 09:11:00          1.074         1.083         15.9076             46.385446             3.6869          3.3747         7.4280         5.1980      94.280        37.3118        1027.5536               27.5536                1512.2014              3.687 -9999.000
 02/12/2021 09:00:00          0.813         0.820         14.6499             44.618364             1.5079         13.4233         7.5930         5.3140      93.780        36.8877        1027.5096               27.5096                1507.7858              1.508 -9999.000
 09/12/2021 08:57:00          0.720         0.726         13.3190             43.156268             1.0879          9.4909         7.6700         5.3670      92.170        36.7903        1027.7183               27.7183                1503.3799              1.088 -9999.000
 16/12/2021 08:50:00          1.143         1.152         12.5844             42.367547             1.6791          1.8086         7.8090         5.4640      92.410        36.7460        1027.8357               27.8357                1500.9027              1.679 -9999.000
 22/12/2021 08:44:00          1.076         1.085         13.1844             43.605456             3.4635          2.2924         7.6100         5.3250      91.510        37.3519        1028.1833               28.1833                1503.6096              3.463 -9999.000
 28/12/2021 08:49:00          0.810         0.817         12.3826             35.286077             2.4124          4.4867         8.2500         5.7730      93.260        30.1315        1022.7445               22.7445                1492.3442              2.412 -9999.000
 04/01/2022 08:44:40          0.710         0.716         12.9296             38.152529             3.8774          6.3108         8.5290         5.9680      98.880        32.3909        1024.3893               24.3893                1496.8785              3.877 -9999.000
 11/01/2022 08:56:00          0.987         0.995         11.9409             41.456231             1.6187          2.1803         7.6600         5.3600      89.300        36.4857        1027.7597               27.7597                1498.4203              1.619 -9999.000
 20/01/2022 08:47:00          1.179         1.189         12.8723             42.907413             1.1453          2.9361         8.0080         5.6040      95.470        36.9865        1027.9644               27.9644                1502.1479              1.145 -9999.000
 26/01/2022 08:20:00          0.960         0.968         12.5042             42.709185             2.5843          0.1865         8.1800         5.7240      96.880        37.1574        1028.1705               28.1705                1501.1219              2.584 -9999.000
 02/02/2022 08:35:00          0.702         0.708         13.3361             43.845658             1.2102          0.6246     -9999.0000     -9999.0000   -9999.000        37.4328        1028.2127               28.2127                1504.1965              1.210 -9999.000
 09/02/2022 08:43:00          1.088         1.097         12.6709             42.810173             1.6649          0.5529         8.0890         5.6600      96.100        37.0904        1028.0854               28.0854                1501.5994              1.665 -9999.000
 16/02/2022 08:44:00          0.734         0.740         12.0649             41.885792             1.4040          0.4140         8.4294         5.8984      98.707        36.7863        1027.9681               27.9681                1499.1968              1.404 -9999.000
 23/02/2022 08:30:00          0.918         0.925         12.2437             41.033122             1.3724          0.2664         8.3545         5.8460      97.574        35.7778        1027.1503               27.1503                1498.5985              1.372 -9999.000
 01/03/2022 08:35:00          0.994         1.002         12.6317             43.278794             1.2783          0.5985         7.9118         5.5362      94.211        37.5852        1028.4772               28.4772                1502.0583              1.278 -9999.000
 10/03/2022 08:30:00          0.939         0.946         12.1442             42.915523             0.9966          0.5688         8.0813         5.6548      95.348        37.7203        1028.6797               28.6797                1500.5862              0.997 -9999.000
 16/03/2022 08:26:00          0.831         0.838         12.7162             43.650311             1.3469          1.2041         8.1848         5.7272      97.801        37.8620        1028.6742               28.6742                1502.6663              1.347 -9999.000
 23/03/2022 08:40:00          0.909         0.916         12.7077             43.592659             1.2505          0.5067         8.4845         5.9370     101.334        37.8144        1028.6393               28.6393                1502.5827              1.250 -9999.000
 30/03/2022 08:44:30          0.681         0.686         13.6475             44.133634             0.9845          0.3133         8.4466         5.9104     102.553        37.4012        1028.1226               28.1226                1505.1735              0.984 -9999.000
